"Txhash","Blockno","UnixTimestamp","DateTime","From","To","Quantity"
"0xb0dd7cd01d6d96a9e5c404ac60d52982675bc13db257c61f2643f616ed111486","11565019","1609459200","2021-01-01 00:00:00","0xb20bd5d04be54f870d5c0d3ca85d82b34b836405","0x124440e77411b4531bf4e6c7cb450723cc80dc18","6011.993519"
"0xddb9c0b7a125762fb80847c594540a6e917b7de28b48890fc6892ffea95225df","11565019","1609459200","2021-01-01 00:00:00","0xa54f1efba2293702d7f121ed01c0edb9f034a169","0x9cc2dce817093ceea82bb67a4cf43131fa354c06","4552"
"0x07b4ce8a447fea58f4e7becd443f820f47ee0f2d3d26c83ef0b5954e7853afab","11565019","1609459200","2021-01-01 00:00:00","0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852","0xeabd024c40972c8859d512f2c16db3662955f38d","2046.439788"
"0x6abb82a1108d988c535ac24abdc35fab36ab023fa1f2f5bcb9a79260b1e2c61d","11565019","1609459200","2021-01-01 00:00:00","0xf4d59691310e7fbe18ecabfe6d1cb31fcc9c0eb2","0xe242271f229e4a7e3f3d555d5b0f86a412f24123","2000"
"0x22a8f48fc44bd141d05d18fadec9472a1213a34cfff1497dcc6a43a923c76832","11565019","1609459200","2021-01-01 00:00:00","0x2e41e0f93f716812ab95867dc769bb04e6c380bd","0xe242271f229e4a7e3f3d555d5b0f86a412f24123","47"
"0x2accf9ac48dd9bc5b27a79dc0151da701816d5305a9debe11bdef59bdcb97e02","11565019","1609459200","2021-01-01 00:00:00","0xa3b1274a86a27aceeca5a3ed3087b069d950fa6b","0xe242271f229e4a7e3f3d555d5b0f86a412f24123","89"
"0x7baa0892e8653903d3273b4a6d68de6f996a530ec3f8f0b85fc96d8cf19735da","11565019","1609459200","2021-01-01 00:00:00","0xa80038f5b664cc206d3697bb9895d2d329989b69","0xe242271f229e4a7e3f3d555d5b0f86a412f24123","150"
"0xacc69925b7aefdd29df13751c8b7e703938843b2910eaf140cf57de34377bb46","11565019","1609459200","2021-01-01 00:00:00","0xf5532a3337321b1a1406cd6bb22202da8b5aac31","0xe242271f229e4a7e3f3d555d5b0f86a412f24123","47"
"0xedea29b2db8bdbbc1912744db5c255f62e6c65e630a76580e90394a62bf926d1","11565019","1609459200","2021-01-01 00:00:00","0x01388f9242964e2aaadef6379eb92276acb5520e","0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852","144.726458"
"0x82b0921bc9e9b613fce4c0a608a08af1a9de8ec02bdfffddfb09196de1812f14","11565019","1609459200","2021-01-01 00:00:00","0x69b0ec95ea291a542251f8ac221e6be48693f83b","0xd660017c0ff198209991c4b747f6fbe561907f36","700"
"0x612d8359fc0473d2b621e5afef84851bd7fed155e46d524e663e473734835f08","11565019","1609459200","2021-01-01 00:00:00","0xfb91a0d6dff39f19d0ea9c988ad8dfb93244c40b","0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852","158.879342"
"0x1c628b0f3479ae0eabb4d83314b1a68d6eec7c7dc1b561d8d981a007e63adac0","11565019","1609459200","2021-01-01 00:00:00","0x2e703d658f8dd21709a7b458967ab4081f8d3d05","0xe069cb01d06ba617bcdf789bf2ff0d5e5ca20c71","73.818269"
"0x1c628b0f3479ae0eabb4d83314b1a68d6eec7c7dc1b561d8d981a007e63adac0","11565019","1609459200","2021-01-01 00:00:00","0xe069cb01d06ba617bcdf789bf2ff0d5e5ca20c71","0xa3fc7fa34acaead9ae7d19622df5e58850450564","73.818269"
"0x3e5b267deed0e1fe0c48810e69aacd4332ba626e2b2f41e2eaf80e177ded3689","11565019","1609459200","2021-01-01 00:00:00","0xb888b815c862d0771c40b868808baa785e3167e5","0x01056a307af2f8511a979c1573e049a155919903","20"
"0x77729f90ca5a36360d00176e82587853d36527e10b3be39e3b9b63fbd546b33f","11565019","1609459200","2021-01-01 00:00:00","0x90b9ccf0fbb8a0e6fe0c3ade481a7f553b6b3fc8","0x579d8edd8fe9837b4167f4c0a79bdc516a524a9c","20"
"0x8a6462f730fa76aa13cd7e781f87a0493445379015d16f0de8217f4ac4e668a0","11565019","1609459200","2021-01-01 00:00:00","0xc91969b7dcf08fa013d560116e56d510d29810d6","0x9b215778718a22e8dbf72349d479ae63bf340172","355"
"0xca6ea831ab8ba265a59d792e8099284eef282a9351d78344a24dfcb25373c23f","11565019","1609459200","2021-01-01 00:00:00","0x6b910b81ba7b9acdeffa0b33c46940e19a01114e","0xbab25f53f45ea506e8da39ae3f2bb2fdd7627ef0","1600"
"0xbc7b45152b362807eb8b1a5e322ecd88136a3f4b8d439e1128928c2710b876c6","11565020","1609459201","2021-01-01 00:00:01","0x9463bf31ce24d443e97ce4f911d3f609b82e3841","0xa38a0e3e7cf8a48977f375a243ee909716c30e5d","2522.840067"
"0x79310d7e8a0e6e85e52dddc5875711df014e7afda785d0660bba725c9d95ad28","11565020","1609459201","2021-01-01 00:00:01","0xc9cb53b48a2f3a9e75982685644c1870f1405ccb","0xacb55b0fe6daaa1b546ae5d5c7aad5caf0c8f611","91478.83564"
"0x5449f86b1a12409791c07fa80ea0b037d289232378d1494be854e43c7ec58326","11565020","1609459201","2021-01-01 00:00:01","0x57c3beda17a9e55086726a33f7c22dbb2b455181","0xd80f53d2d7a79cbb665a5b858b77341778c5c9c1","389.712"
"0x65d0558e787d028f4365611b61523afc7f7a6a14fe57d631e43152e5f1e8424d","11565020","1609459201","2021-01-01 00:00:01","0xdf69e8b1d9a90f57b2d370081560f21e50312f2a","0x9a946b3b820dd588271cfe402041aa4477bb8953","2540"
